indicator,year,geography,fips,race,sex,age_group,misc,rate,cases,population
AIDS deaths,2001,Vermont,50,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.6,8,512075
AIDS deaths,2001,Virginia,51,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.4,322,5924732
AIDS deaths,2001,Washington,53,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.4,165,4903837
AIDS deaths,2001,West Virginia,54,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.4,36,1520887
AIDS deaths,2001,Wisconsin,55,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.2,99,4451651
AIDS deaths,2001,Wyoming,56,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1,4,407482
AIDS deaths,2002,Alabama,1,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7,258,3676368
AIDS deaths,2002,Alaska,2,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.3,22,510199
AIDS deaths,2002,American Samoa,60,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,39577
AIDS deaths,2002,Arizona,4,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.9,213,4390388
AIDS deaths,2002,Arkansas,5,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.4,98,2220736
AIDS deaths,2002,California,6,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.4,1788,28026577
AIDS deaths,2002,Colorado,8,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.7,135,3680890
AIDS deaths,2002,Connecticut,9,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,10.6,301,2840219
AIDS deaths,2002,Delaware,10,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,13.3,88,662439
AIDS deaths,2002,District of Columbia,11,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,70.2,345,491442
AIDS deaths,2002,Florida,12,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,16.4,2296,13975036
AIDS deaths,2002,Georgia,13,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,10.7,741,6927931
AIDS deaths,2002,Guam,66,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.8,1,118261
AIDS deaths,2002,Hawaii,15,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.3,44,1018047
AIDS deaths,2002,Idaho,16,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.4,15,1074802
AIDS deaths,2002,Illinois,17,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.7,681,10208110
AIDS deaths,2002,Indiana,18,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.5,174,5015786
AIDS deaths,2002,Iowa,19,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.4,34,2421387
AIDS deaths,2002,Kansas,20,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.3,50,2210646
AIDS deaths,2002,Kentucky,21,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.6,121,3378471
AIDS deaths,2002,Louisiana,22,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,13,472,3624180
AIDS deaths,2002,Maine,23,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.1,23,1090852
AIDS deaths,2002,Maryland,24,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,18.8,836,4453270
AIDS deaths,2002,Massachusetts,25,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.7,303,5360534
AIDS deaths,2002,Michigan,26,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.1,335,8197129
AIDS deaths,2002,Minnesota,27,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.8,73,4113120
AIDS deaths,2002,Mississippi,28,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,8.8,203,2311524
AIDS deaths,2002,Missouri,29,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.9,184,4669833
AIDS deaths,2002,Montana,30,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.5,11,756734
AIDS deaths,2002,Nebraska,31,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.2,31,1409289
AIDS deaths,2002,Nevada,32,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6,105,1753069
